,0
X,float64
Y,float64
OBJECTID,int64
CRIMEID,int64
CCN,object
REPORTDATE,object
ROUTEID,object
MEASURE,float64
OFFSET,float64
STREETSEGID,float64
ROADWAYSEGID,float64
FROMDATE,object
TODATE,object
MARID,int64
ADDRESS,object
LATITUDE,float64
LONGITUDE,float64
XCOORD,float64
YCOORD,float64
WARD,object
EVENTID,object
MAR_ADDRESS,object
MAR_SCORE,float64
MAJORINJURIES_BICYCLIST,int64
MINORINJURIES_BICYCLIST,int64
UNKNOWNINJURIES_BICYCLIST,int64
FATAL_BICYCLIST,int64
MAJORINJURIES_DRIVER,int64
MINORINJURIES_DRIVER,int64
UNKNOWNINJURIES_DRIVER,int64
FATAL_DRIVER,int64
MAJORINJURIES_PEDESTRIAN,int64
MINORINJURIES_PEDESTRIAN,int64
UNKNOWNINJURIES_PEDESTRIAN,int64
FATAL_PEDESTRIAN,int64
TOTAL_VEHICLES,int64
TOTAL_BICYCLES,int64
TOTAL_PEDESTRIANS,int64
PEDESTRIANSIMPAIRED,int64
BICYCLISTSIMPAIRED,int64
DRIVERSIMPAIRED,int64
TOTAL_TAXIS,int64
TOTAL_GOVERNMENT,int64
SPEEDING_INVOLVED,int64
NEARESTINTROUTEID,object
NEARESTINTSTREETNAME,object
OFFINTERSECTION,float64
INTAPPROACHDIRECTION,object
LOCATIONERROR,object
LASTUPDATEDATE,object
MPDLATITUDE,float64
MPDLONGITUDE,float64
MPDGEOX,float64
MPDGEOY,float64
BLOCKKEY,object
SUBBLOCKKEY,object
FATALPASSENGER,int64
MAJORINJURIESPASSENGER,int64
MINORINJURIESPASSENGER,int64
UNKNOWNINJURIESPASSENGER,int64
